colYear,colMonth,DayOfMonths,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1998,9,4,5,1835,1804,1908,1833,AS,64,N784AS,33,29,22,35,31,WRG,KTN,82,4,7,0,,0,0,0,0,0,0
1994,6,16,4,2144,2133,2237,2220,DL,1526,,53,47,0,17,11,ATL,CSG,83,0,0,0,,0,0,0,0,0,0
1997,6,24,2,2005,2010,2035,2051,US,729,N887US,30,41,18,-16,-5,GSO,CLT,83,4,8,0,,0,0,0,0,0,0
1997,8,24,7,1723,1725,1805,1805,DL,1042,N2811W,42,40,22,0,-2,SDF,CVG,83,10,10,0,,0,0,0,0,0,0
1998,5,4,1,1721,1705,1803,1746,US,607,N339US,42,41,20,17,16,GSO,CLT,83,3,19,0,,0,0,0,0,0,0
2000,2,8,2,1212,1212,1249,1300,US,1645,N239US,37,48,25,-11,0,GSO,CLT,83,4,8,0,,0,0,0,0,0,0
2000,11,13,1,1907,1905,1949,1956,DL,1232,N979DL,42,51,19,-7,2,CVG,SDF,83,9,14,0,,0,0,0,0,0,0
2004,3,29,1,806,815,920,903,US,161,N520AU,74,48,32,17,-9,GSO,CLT,83,4,38,0,,0,0,0,0,0,0
2005,4,30,6,610,610,708,650,EV,4708,N637AS,58,40,40,18,0,CSG,ATL,83,3,15,0,,0,0,0,0,0,0
1990,7,3,2,1248,1250,1317,1324,UA,1478,,29,34,0,-7,-2,SAV,CHS,86,0,0,0,,0,0,0,0,0,0
2004,4,26,1,954,935,1032,1023,OO,6464,N913SW,38,48,27,9,19,SMF,SFO,86,3,8,0,,0,0,0,0,0,0
2006,6,5,1,1341,1340,1423,1420,OO,5752,N295UX,42,40,29,3,1,LAX,CLD,86,3,10,0,,0,0,0,0,0,0
1995,12,10,7,2022,2020,2108,2058,US,1575,N808US,46,38,24,10,2,CLT,CAE,88,4,18,0,,0,0,0,0,0,0
1997,10,10,5,1356,1350,1428,1428,US,733,N447US,32,38,18,0,6,CLT,CAE,88,3,11,0,,0,0,0,0,0,0
1998,10,23,5,1526,1524,1603,1607,US,709,N422US,37,43,24,-4,2,CAE,CLT,88,4,9,0,,0,0,0,0,0,0
2001,1,9,2,1627,1630,1703,1713,MQ,3226,-N320M,36,43,21,-10,-3,LAX,SBA,89,3,12,0,,0,0,0,0,0,0
2001,9,15,6,1942,1940,2016,2021,MQ,3293,-N374M,34,41,21,-5,2,LAX,SBA,89,5,8,0,,0,0,0,0,0,0
2003,12,8,1,1812,1815,1850,1853,OO,6216,N297SW,35,38,20,-3,0,LAX,SBA,89,4,14,0,,0,0,0,0,0,0
2004,10,4,1,1525,1530,1626,1624,MQ,3044,N392AE,61,54,36,2,-5,SBA,LAX,89,9,16,0,,0,0,0,0,0,0
2005,4,27,3,2011,2020,2055,2105,OO,6158,N565SW,44,45,30,-10,-9,SBA,LAX,89,7,7,0,,0,0,0,0,0,0
1994,2,5,6,659,700,726,738,US,1080,,27,38,0,-12,-1,AVL,CLT,92,0,0,0,,0,0,0,0,0,0
1997,9,1,1,1845,1850,1929,1930,US,1773,N858US,44,40,25,-1,-5,AVL,CLT,92,5,14,0,,0,0,0,0,0,0
1991,8,18,7,2257,2255,2336,2335,DL,437,,39,40,0,1,2,SJC,SMF,94,0,0,0,,0,0,0,0,0,0
2004,7,1,4,1022,835,1109,926,DH,7625,N320UE,47,51,27,103,107,IAD,MDT,94,4,15,0,,0,0,0,0,0,0
1990,12,13,4,732,720,836,817,NW,1585,,64,57,0,19,12,CLE,DTW,95,0,0,0,,0,0,0,0,0,0
2000,4,17,1,1655,1700,1759,1804,NW,173,N8938E,64,64,34,-5,-5,CLE,DTW,95,12,18,0,,0,0,0,0,0,0
2004,2,2,1,1800,1800,1913,1853,OH,5550,N979CA,73,53,23,20,0,BOS,PWM,95,4,46,0,,0,0,0,0,0,0
2004,12,29,3,1755,1605,1838,1655,OH,5549,N457CA,43,50,21,103,110,BOS,PWM,95,3,19,0,,0,0,0,0,0,0
2005,9,2,5,1240,1245,1327,1335,OH,5545,N494CA,47,50,22,-8,-5,BOS,PWM,95,5,20,0,,0,0,0,0,0,0
2008,5,14,3,551,600,625,641,AS,73,N615AS,34,41,24,-16,-9,SIT,JNU,95,3,7,0,,0,0,0,0,0,0
1988,12,14,3,657,700,737,737,NW,1131,,40,37,0,0,-3,MBS,DTW,98,0,0,0,,0,0,0,0,0,0
1990,5,20,7,1814,1810,2000,1955,DL,879,,46,45,0,5,4,IND,CVG,98,0,0,0,,0,0,0,0,0,0
2001,11,27,2,2052,2055,2139,2138,DL,1562,-N965D,47,43,24,1,-3,CVG,IND,98,10,13,0,,0,0,0,0,0,0
2005,3,15,2,2216,2221,2300,2300,NW,1131,N781NC,44,39,23,0,-5,DTW,MBS,98,5,16,0,,0,0,0,0,0,0
1996,7,22,1,1859,1855,1933,1934,AA,161,N162AA,34,39,21,-1,4,HNL,OGG,100,4,9,0,,0,0,0,0,0,0
2000,12,28,4,1747,1735,1818,1806,AQ,287,N824AL,31,31,21,12,12,OGG,HNL,100,5,5,0,,0,0,0,0,0,0
2001,7,6,5,1555,1555,1628,1630,AQ,114,-N804A,33,35,21,-2,0,HNL,OGG,100,4,8,0,,0,0,0,0,0,0
2004,11,13,6,1734,1740,1810,1814,HA,545,N476HA,36,34,23,-4,-6,OGG,HNL,100,7,6,0,,0,0,0,0,0,0
2007,11,18,7,1405,1350,1450,1425,YV,1037,N693BR,45,35,20,25,15,HNL,OGG,100,10,15,0,,0,0,0,0,0,0
2007,12,27,4,1028,1035,1101,1109,HA,525,N486HA,33,34,23,-8,-7,OGG,HNL,100,4,6,0,,0,0,0,0,0,0
2008,11,24,1,623,618,659,654,HA,114,N481HA,36,36,22,5,5,HNL,OGG,100,4,10,0,,0,0,0,0,0,0
1994,8,14,7,928,930,959,1010,AA,1283,,31,40,0,-11,-2,BNA,HSV,102,0,0,0,,0,0,0,0,0,0
2000,11,26,7,1147,1150,1228,1226,AQ,73,N809AL,41,36,21,2,-3,HNL,LIH,102,3,17,0,,0,0,0,0,0,0
2007,9,7,5,1021,1025,1056,1102,HA,139,N485HA,35,37,19,-6,-4,HNL,LIH,102,5,11,0,,0,0,0,0,0,0
1996,11,30,6,2147,2135,2239,2220,US,1110,N818US,52,45,28,19,12,PIT,CLE,105,6,18,0,,0,0,0,0,0,0
2002,4,6,6,2306,2310,2,2358,MQ,5081,N77AMQ,56,48,30,4,-4,MIA,RSW,105,6,20,0,,0,0,0,0,0,0
1988,9,15,4,812,815,844,850,AA,142,,32,35,0,-6,-3,EUG,PDX,106,0,0,0,,0,0,0,0,0,0
1988,12,6,2,900,900,935,935,DL,1077,,35,35,0,0,0,ATL,CHA,106,0,0,0,,0,0,0,0,0,0
1992,4,27,1,2339,2340,16,20,DL,981,,37,40,0,-4,-1,ATL,CHA,106,0,0,0,,0,0,0,0,0,0
2007,3,23,5,1745,1550,1840,1643,EV,4880,N974EV,55,53,22,117,115,ATL,CHA,106,5,28,0,,0,0,0,0,0,0
1988,8,22,1,2232,2230,2306,2300,HP,505,,34,30,0,6,2,LNK,SUX,109,0,0,0,,0,0,0,0,0,0
1988,8,17,3,1439,1425,1513,1501,US,11,,34,36,0,12,14,ERI,PIT,109,0,0,0,,0,0,0,0,0,0
1989,4,10,1,625,625,706,708,UA,496,,41,43,0,-2,0,MSN,ORD,109,0,0,0,,0,0,0,0,0,0
1991,4,22,1,1740,1730,1824,1815,AS,215,,44,45,0,9,10,SAN,LAX,109,0,0,0,,0,0,0,0,0,0
1992,1,9,4,951,950,1030,1031,US,589,,39,41,0,-1,1,PIT,ERI,109,0,0,0,,0,0,0,0,0,0
1993,7,18,7,2011,2010,2053,2055,DL,961,,42,45,0,-2,1,LAX,SAN,109,0,0,0,,0,0,0,0,0,0
1997,8,8,5,1856,1858,1936,1939,US,1457,N519AU,40,41,30,-3,-2,ERI,PIT,109,5,5,0,,0,0,0,0,0,0
1999,10,3,7,2254,2210,2330,2252,US,2130,N449US,36,42,22,38,44,PIT,ERI,109,4,10,0,,0,0,0,0,0,0
2000,1,1,6,1336,1340,1414,1429,UA,2044,N911UA,38,49,27,-15,-4,SAN,LAX,109,4,7,0,,0,0,0,0,0,0
2001,3,14,3,1248,1246,1336,1330,MQ,4120,-N709M,48,44,27,6,2,MSN,ORD,109,7,14,0,,0,0,0,0,0,0
2001,10,29,1,603,603,647,645,MQ,4046,-N608M,44,42,27,2,0,MSN,ORD,109,7,10,0,,0,0,0,0,0,0
2002,1,3,4,1926,1930,2011,2018,MQ,3358,-N250M,45,48,29,-7,-4,SAN,LAX,109,6,10,0,,0,0,0,0,0,0
2003,2,5,3,808,815,848,901,OO,6202,N284YV,46,46,29,0,0,SAN,LAX,109,5,6,0,,0,0,0,0,0,0
2003,4,11,5,1730,1730,1819,1814,OO,6185,N295UX,49,44,36,5,0,LAX,SAN,109,3,10,0,,0,0,0,0,0,0
2004,9,6,1,748,755,836,844,MQ,3064,N394AE,48,49,28,-8,-7,SAN,LAX,109,5,15,0,,0,0,0,0,0,0
2005,10,23,7,1728,1730,1807,1820,MQ,4349,N655AE,39,50,26,-13,-2,ORD,MSN,109,3,10,0,,0,0,0,0,0,0
2006,3,8,3,1557,1600,1648,1653,MQ,3092,N901AE,51,53,28,-5,-3,SAN,LAX,109,10,13,0,,0,0,0,0,0,0
2006,6,21,3,1319,1320,1406,1404,OO,6092,N295UX,47,44,25,2,-1,SAN,LAX,109,5,17,0,,0,0,0,0,0,0
2007,2,23,5,1014,1015,1112,1120,MQ,3075,N388AE,58,65,30,-8,-1,LAX,SAN,109,7,21,0,,0,0,0,0,0,0
2007,10,2,2,1800,1805,1902,1855,MQ,3086,N253AE,62,50,27,7,-5,SAN,LAX,109,17,18,0,,0,0,0,0,0,0
2008,7,1,2,953,1000,1035,1055,MQ,3046,N313AE,42,55,31,-20,-7,SAN,LAX,109,5,6,0,,0,0,0,0,0,0
1987,11,17,2,2035,2030,2117,2107,TW,492,,42,37,0,10,5,TPA,RSW,110,0,0,1,,0,0,0,0,0,0
1994,5,18,3,2111,2100,2151,2135,DL,1611,,40,35,0,16,11,PHX,TUS,110,0,0,0,,0,0,0,0,0,0
1995,5,11,4,1820,1820,1858,1859,HP,429,N144AW,38,39,27,-1,0,TUS,PHX,110,4,7,0,,0,0,0,0,0,0
1996,2,2,5,1301,1125,1338,1200,DL,989,N659DL,37,35,21,98,96,PHX,TUS,110,3,13,0,,0,0,0,0,0,0
2001,4,28,6,1548,1520,1637,1618,MQ,3217,-N324M,49,58,33,19,28,LAX,PSP,110,3,13,0,,0,0,0,0,0,0
2002,8,28,3,2103,2038,2142,2121,HP,447,N302AW,39,43,23,21,25,PHX,TUS,110,3,13,0,,0,0,0,0,0,0
2006,8,3,4,1655,1646,1743,1733,OO,6116,N292SW,48,47,32,10,9,LAX,PSP,110,3,13,0,,0,0,0,0,0,0
2007,5,4,5,1359,1402,1444,1449,OO,6128,N223SW,45,47,32,-5,-3,PSP,LAX,110,3,10,0,,0,0,0,0,0,0
2003,6,2,1,1259,1242,1355,1338,MQ,3591,N284MQ,56,56,34,17,17,DFW,SPS,113,5,17,0,,0,0,0,0,0,0
2006,4,4,2,1723,1728,1810,1820,MQ,3334,N324AE,47,52,25,-10,-5,SPS,DFW,113,12,10,0,,0,0,0,0,0,0
1992,9,15,2,1020,1017,1101,1055,DL,416,,41,38,0,6,3,CVG,CMH,116,0,0,0,,0,0,0,0,0,0
1995,3,21,2,1911,1915,1948,1948,DL,1466,N960DL,37,33,21,0,-4,MLU,JAN,116,3,13,0,,0,0,0,0,0,0
1988,5,3,2,2201,2155,2252,2239,PI,607,,51,44,0,13,6,CLT,FAY,118,0,0,0,,0,0,0,0,0,0
1993,7,11,7,704,700,748,747,US,1838,,44,47,0,1,4,FAY,CLT,118,0,0,0,,0,0,0,0,0,0
2002,7,3,3,2002,2000,2102,2106,US,160,N107UW,60,66,28,-4,2,PHL,DCA,119,3,29,0,,0,0,0,0,0,0
2006,2,11,6,1600,1601,1655,1656,YV,6201,N989HA,55,55,32,-1,-1,PHX,FLG,119,5,18,0,,0,0,0,0,0,0
2006,9,30,6,1750,1745,1847,1851,US,1785,N420US,57,66,30,-4,5,PHL,DCA,119,6,21,0,,0,0,0,0,0,0
1987,10,31,6,649,650,722,725,PI,400,,33,35,0,-3,-1,CHO,BWI,120,0,0,0,,0,0,0,0,0,0
1993,9,22,3,919,855,957,944,US,363,,38,49,0,13,24,CLT,TRI,120,0,0,0,,0,0,0,0,0,0
1994,2,22,2,1841,1840,1933,1926,NW,807,,52,46,0,7,1,DTW,GRR,120,0,0,0,,0,0,0,0,0,0
1994,12,16,5,557,600,644,640,NW,238,,47,40,0,4,-3,GRR,DTW,120,0,0,0,,0,0,0,0,0,0
1999,7,21,3,2200,2100,2246,2148,US,833,N850US,46,48,30,58,60,CLT,TRI,120,5,11,0,,0,0,0,0,0,0
2004,8,3,2,2231,2217,2309,2257,NW,341,N361NW,38,40,25,12,14,DTW,GRR,120,4,9,0,,0,0,0,0,0,0
2005,4,1,5,1721,1723,1822,1810,NW,698,N504US,61,47,32,12,-2,DTW,GRR,120,6,23,0,,0,0,0,0,0,0
2006,3,24,5,1017,1021,1100,1106,NW,1732,N761NC,43,45,26,-6,-4,DTW,GRR,120,4,13,0,,0,0,0,0,0,0
1987,12,10,4,2324,2324,2357,2359,HP,234,,33,35,0,-2,0,MAF,LBB,121,0,0,0,,0,0,0,0,0,0
1989,10,22,7,1344,1345,1437,1429,US,1861,,53,44,0,8,-1,BWI,RIC,121,0,0,0,,0,0,0,0,0,0
1990,1,18,4,1813,1815,1853,1857,US,505,,40,42,0,-4,-2,ABE,BWI,121,0,0,0,,0,0,0,0,0,0
1995,8,3,4,1103,1100,1141,1142,US,2276,N235US,38,42,28,-1,3,RIC,BWI,121,4,6,0,,0,0,0,0,0,0
2001,2,18,7,1103,1100,1208,1153,MQ,5209,-N440M,65,53,37,15,3,MIA,EYW,126,4,24,0,,0,0,0,0,0,0
1993,7,11,7,919,925,1056,1110,NW,1785,,37,45,0,-14,-6,FWA,DTW,128,0,0,0,,0,0,0,0,0,0
1996,6,20,4,939,940,1124,1125,NW,1178,N948L,45,45,32,-1,-1,FWA,DTW,128,4,9,0,,0,0,0,0,0,0
2000,6,12,1,1241,1225,1434,1417,NW,697,N8923E,53,52,29,17,16,FWA,DTW,128,11,13,0,,0,0,0,0,0,0
1988,6,18,6,1512,1450,1530,1525,CO,962,,18,35,0,5,22,SPN,GUM,129,0,0,0,,0,0,0,0,0,0
1989,1,12,4,1955,1955,2040,2040,AS,611,,45,45,0,0,0,PDX,SEA,129,0,0,0,,0,0,0,0,0,0
1989,12,9,6,547,600,641,640,CO,975,,54,40,0,1,-13,SPN,GUM,129,0,0,0,,0,0,0,0,0,0
1991,3,15,5,652,650,745,739,NW,87,,53,49,0,6,2,PDX,SEA,129,0,0,0,,0,0,0,0,0,0
1991,10,14,1,1954,1955,2025,2030,DL,371,,31,35,0,-5,-1,LIT,MEM,129,0,0,0,,0,0,0,0,0,0
1994,9,20,2,2158,2200,2231,2240,UA,1823,,33,40,0,-9,-2,MEM,LIT,129,0,0,0,,0,0,0,0,0,0
1995,1,6,5,1830,1820,1931,1909,AS,700,N965AS,61,49,30,22,10,SEA,PDX,129,3,28,0,,0,0,0,0,0,0
1996,4,30,2,1352,1352,1446,1436,AS,516,N963AS,54,44,32,10,0,SEA,PDX,129,3,19,0,,0,0,0,0,0,0
2002,5,16,4,2204,2210,2251,2303,DL,99,N193DN,47,53,27,-12,-6,SEA,PDX,129,4,16,0,,0,0,0,0,0,0
2004,12,11,6,1606,1620,1645,1711,NW,966,N8929E,39,51,28,-26,-14,LIT,MEM,129,4,7,0,,0,0,0,0,0,0
2007,3,4,7,1457,1450,1539,1535,OO,5760,N233SW,42,45,33,4,7,SEA,PDX,129,2,7,0,,0,0,0,0,0,0
2008,1,27,7,1458,1445,1540,1540,9E,5909,87759E,42,55,25,0,13,MEM,LIT,129,4,13,0,,0,0,0,0,0,0
1988,1,22,5,1916,1916,1951,2004,AA,1050,,35,48,0,-13,0,CLT,RDU,130,0,0,0,,0,0,0,0,0,0
1988,8,29,1,2045,2044,2125,2124,PI,565,,40,40,0,1,1,CLT,RDU,130,0,0,0,,0,0,0,0,0,0
1989,7,24,1,1113,1050,1150,1133,PI,1468,,37,43,0,17,23,RDU,CLT,130,0,0,0,,0,0,0,0,0,0
1992,6,2,2,1958,1955,2037,2040,US,871,,39,45,0,-3,3,RDU,CLT,130,0,0,0,,0,0,0,0,0,0
1994,4,13,3,1658,1550,1751,1644,US,1033,,53,54,0,67,68,ISP,PHL,130,0,0,0,,0,0,0,0,0,0
1999,6,2,3,1047,1047,1132,1135,US,1282,N854US,45,48,31,-3,0,RDU,CLT,130,7,7,0,,0,0,0,0,0,0
2003,4,6,7,1423,1421,1504,1513,MQ,4268,N633MQ,41,52,26,-9,2,PIA,ORD,130,7,8,0,,0,0,0,0,0,0
2003,11,12,3,1754,1758,1848,1857,MQ,3395,N330MQ,54,59,34,-9,-4,DFW,ILE,130,2,18,0,,0,0,0,0,0,0
2006,4,21,5,1302,1301,1350,1352,MQ,4268,N661JA,48,51,31,-2,1,PIA,ORD,130,9,8,0,,0,0,0,0,0,0
2007,2,11,7,958,1000,1042,1051,OO,6833,N980SW,44,51,25,-9,-2,ORD,PIA,130,4,15,0,,0,0,0,0,0,0
2004,3,3,3,1245,1255,1334,1351,DH,7852,N303UE,49,56,34,-17,-10,IAD,SCE,133,3,12,0,,0,0,0,0,0,0
1988,1,19,2,1730,1645,1922,1831,EA,568,,52,46,0,51,45,BHM,ATL,134,0,0,0,,0,0,0,0,0,0
1990,5,17,4,1652,1645,1725,1720,DL,1825,,33,35,0,5,7,MSO,GTF,134,0,0,0,,0,0,0,0,0,0
1991,10,7,1,2115,2118,2205,2210,UA,1140,,50,52,0,-5,-3,IAD,PHL,134,0,0,0,,0,0,0,0,0,0
1995,8,22,2,1627,1625,1823,1819,DL,618,N617DL,56,54,42,4,2,BHM,ATL,134,6,8,0,,0,0,0,0,0,0
1999,7,9,5,1249,1250,1446,1452,DL,1204,N990DL,57,62,36,-6,-1,BHM,ATL,134,6,15,0,,0,0,0,0,0,0
2005,4,29,5,2103,2105,2157,2150,MQ,3415,N853AE,54,45,33,7,-2,DFW,GRK,134,3,18,0,,0,0,0,0,0,0
2008,7,6,7,1733,1733,1718,1734,9E,2001,91669E,45,61,26,-16,0,ATL,BHM,134,4,15,0,,0,0,0,0,0,0
2004,7,7,3,1618,1620,1708,1710,OO,6143,N226SW,48,50,37,-2,0,SMX,LAX,135,6,7,0,,0,0,0,0,0,0
2006,2,1,3,1752,1800,1848,1903,MQ,4218,N645AE,56,63,35,-15,-8,CMI,ORD,135,14,7,0,,0,0,0,0,0,0
1991,1,13,7,730,730,812,824,DL,193,,42,54,0,-12,0,FWA,CVG,136,0,0,0,,0,0,0,0,0,0
1989,12,3,7,1529,1529,1622,1615,TW,668,,53,46,0,7,0,STL,PIA,137,0,0,0,,0,0,0,0,0,0
1998,8,15,6,1139,1140,1126,1126,UA,1473,N983UA,47,46,29,0,-1,GRR,ORD,137,3,15,0,,0,0,0,0,0,0
2003,12,31,3,925,925,909,918,UA,393,N378UA,44,53,34,-9,0,GRR,ORD,137,5,5,0,,0,0,0,0,0,0
2006,11,4,6,556,600,544,554,YV,7482,N503MJ,48,54,32,-10,-4,GRR,ORD,137,4,12,0,,0,0,0,0,0,0
2008,1,24,4,1026,1015,1116,1110,MQ,3926,N653AE,50,55,38,6,11,MLI,ORD,139,6,6,0,,0,0,0,0,0,0
